"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-04-14,"Vancouver Island",130,8195,1.65,17.9
2020-04-15,"BC",1379,61174,4.36,22.4
2020-04-15,"Fraser",527,21380,6.04,26.7
2020-04-15,"Interior",169,8428,3.31,25.7
2020-04-15,"Northern",40,2335,2.75,42.3
2020-04-15,"Unknown",30,615,0,34.2
2020-04-15,"Vancouver Coastal",415,20023,3.6,15.7
2020-04-15,"Vancouver Island",198,8393,1.8,16.4
2020-04-16,"BC",1437,62611,4.3,22.3
2020-04-16,"Fraser",569,21949,5.85,24.4
2020-04-16,"Interior",193,8621,2.93,30.9
2020-04-16,"Northern",78,2413,2.49,38.4
2020-04-16,"Unknown",19,634,0,29.1
2020-04-16,"Vancouver Coastal",365,20388,3.81,15.6
2020-04-16,"Vancouver Island",213,8606,1.86,14.1
2020-04-17,"BC",1279,63890,4.06,22.9
2020-04-17,"Fraser",438,22387,5.42,26.8
2020-04-17,"Interior",163,8784,2.89,26.1
2020-04-17,"Northern",29,2442,2.74,38.6
2020-04-17,"Unknown",6,640,0,21.6
2020-04-17,"Vancouver Coastal",406,20794,3.49,20
2020-04-17,"Vancouver Island",237,8843,1.97,16.7
2020-04-18,"BC",1151,65041,4.05,23.2
2020-04-18,"Fraser",308,22695,5.23,26.4
2020-04-18,"Interior",137,8921,2.65,26.2
2020-04-18,"Northern",68,2510,3.17,40.2
2020-04-18,"Unknown",5,645,0,52.6
2020-04-18,"Vancouver Coastal",432,21226,3.68,18.5
2020-04-18,"Vancouver Island",201,9044,2.03,19.7
2020-04-19,"BC",1113,66154,3.98,25.7
2020-04-19,"Fraser",488,23183,5.24,29.6
2020-04-19,"Interior",141,9062,2.73,28.2
2020-04-19,"Northern",10,2520,3.12,43.8
2020-04-19,"Unknown",3,648,0,35
2020-04-19,"Vancouver Coastal",314,21540,3.65,19.9
2020-04-19,"Vancouver Island",157,9201,1.93,21.6
2020-04-20,"BC",1246,67400,3.9,25.2
2020-04-20,"Fraser",545,23728,5.39,26.1
2020-04-20,"Interior",170,9232,2.2,27.1
2020-04-20,"Northern",84,2604,2.54,41.9
2020-04-20,"Unknown",2,650,0,55
2020-04-20,"Vancouver Coastal",270,21810,3.38,21.8
2020-04-20,"Vancouver Island",175,9376,2.06,17.6
2020-04-21,"BC",1535,68935,3.98,21.5
2020-04-21,"Fraser",622,24350,5.12,22.5
2020-04-21,"Interior",168,9400,2.02,36.6
2020-04-21,"Northern",68,2672,2.39,30.7
2020-04-21,"Unknown",13,663,0,33.8
2020-04-21,"Vancouver Coastal",459,22269,4.28,16.5
2020-04-21,"Vancouver Island",205,9581,1.66,13.9
2020-04-22,"BC",1992,70927,3.49,21.7
2020-04-22,"Fraser",621,24971,4.43,23.1
2020-04-22,"Interior",370,9770,1.86,29.1
2020-04-22,"Northern",102,2774,1.82,28.5
2020-04-22,"Unknown",16,679,0,23.5
2020-04-22,"Vancouver Coastal",639,22908,4.19,17.1
2020-04-22,"Vancouver Island",244,9825,1.54,16
2020-04-23,"BC",2479,73406,3.42,23.4
2020-04-23,"Fraser",938,25909,4.65,25.6
2020-04-23,"Interior",337,10107,1.55,29.5
2020-04-23,"Northern",126,2900,1.64,33.3
2020-04-23,"Unknown",12,691,0,31
2020-04-23,"Vancouver Coastal",664,23572,3.96,19.2
2020-04-23,"Vancouver Island",402,10227,1.48,16.6
2020-04-24,"BC",2619,76025,3.33,24
2020-04-24,"Fraser",960,26869,4.8,26.7
2020-04-24,"Interior",431,10538,1.37,29.5
2020-04-24,"Northern",107,3007,1.42,28.8
2020-04-24,"Unknown",13,704,0,20.2
2020-04-24,"Vancouver Coastal",705,24277,3.76,20.3
2020-04-24,"Vancouver Island",403,10630,1.23,17.1
2020-04-25,"BC",2369,78394,3.05,23.2
2020-04-25,"Fraser",645,27514,4.59,28.2
2020-04-25,"Interior",339,10877,1.23,28
2020-04-25,"Northern",128,3135,0.8,25.4
2020-04-25,"Unknown",19,723,0,24.1
2020-04-25,"Vancouver Coastal",778,25055,3.53,19.7
2020-04-25,"Vancouver Island",460,11090,0.93,18.2
2020-04-26,"BC",2188,80582,2.87,26.3
2020-04-26,"Fraser",958,28472,4.27,30.5
2020-04-26,"Interior",263,11140,1.49,32.6
2020-04-26,"Northern",99,3234,0.7,33.3
2020-04-26,"Unknown",4,727,0,25.2
2020-04-26,"Vancouver Coastal",544,25599,3.25,19.9
2020-04-26,"Vancouver Island",320,11410,0.81,17.2
2020-04-27,"BC",2139,82721,2.76,23.5
2020-04-27,"Fraser",915,29387,4.1,27.5
2020-04-27,"Interior",285,11425,1.46,26.6
2020-04-27,"Northern",71,3305,1.28,25.1
2020-04-27,"Unknown",2,729,0,31
2020-04-27,"Vancouver Coastal",541,26140,3.14,19.8
2020-04-27,"Vancouver Island",325,11735,0.51,14.9
2020-04-28,"BC",2879,85600,2.38,22.8
2020-04-28,"Fraser",1185,30572,3.78,26.3
2020-04-28,"Interior",404,11829,1.15,26.8
2020-04-28,"Northern",83,3388,1.26,31.8
2020-04-28,"Unknown",40,769,0,20.3
2020-04-28,"Vancouver Coastal",724,26864,2.18,17.7
2020-04-28,"Vancouver Island",443,12178,0.5,16.4
2020-04-29,"BC",2676,88276,2.33,22.1
2020-04-29,"Fraser",905,31477,3.89,23.9
2020-04-29,"Interior",346,12175,1.16,31
2020-04-29,"Northern",131,3519,1.61,31.7
2020-04-29,"Unknown",21,790,0,21.3
2020-04-29,"Vancouver Coastal",824,27688,1.9,18
2020-04-29,"Vancouver Island",449,12627,0.36,16.5
2020-04-30,"BC",2822,91098,2.02,25.7
2020-04-30,"Fraser",959,32436,3.26,26.5
2020-04-30,"Interior",445,12620,1.23,33.7
2020-04-30,"Northern",185,3704,1.87,31.6
2020-04-30,"Unknown",14,804,0,27.7
2020-04-30,"Vancouver Coastal",755,28443,1.64,23.5
2020-04-30,"Vancouver Island",464,13091,0.24,17.5
2020-05-01,"BC",2693,93791,1.97,24.4
2020-05-01,"Fraser",921,33357,3.24,25.8
2020-05-01,"Interior",416,13036,1.12,35
2020-05-01,"Northern",116,3820,1.85,30.3
2020-05-01,"Unknown",31,835,0,32.9
2020-05-01,"Vancouver Coastal",695,29138,1.56,19.6
2020-05-01,"Vancouver Island",514,13605,0.27,18
2020-05-02,"BC",2806,96597,1.94,27.8
2020-05-02,"Fraser",942,34299,3.15,29.4
2020-05-02,"Interior",420,13456,1.12,38
2020-05-02,"Northern",162,3982,2.01,26.8
2020-05-02,"Unknown",15,850,0,36.6
2020-05-02,"Vancouver Coastal",858,29996,1.48,24.6
2020-05-02,"Vancouver Island",409,14014,0.24,20.6
2020-05-03,"BC",1977,98574,1.96,25
2020-05-03,"Fraser",713,35012,3.32,26.8
2020-05-03,"Interior",312,13768,0.8,35.4
2020-05-03,"Northern",73,4055,2.31,24.5
2020-05-03,"Unknown",11,861,0,40.8
2020-05-03,"Vancouver Coastal",488,30484,1.58,20.2
2020-05-03,"Vancouver Island",380,14394,0.2,19
2020-05-04,"BC",1717,100291,1.86,18
2020-05-04,"Fraser",514,35526,3.31,20.2
2020-05-04,"Interior",277,14045,0.69,24
2020-05-04,"Northern",56,4111,1.99,19.1
2020-05-04,"Unknown",3,864,0,35
2020-05-04,"Vancouver Coastal",567,31051,1.47,14.7
2020-05-04,"Vancouver Island",300,14694,0.17,14.5
2020-05-05,"BC",2078,102369,1.87,21.8
2020-05-05,"Fraser",891,36417,3.44,23.6
2020-05-05,"Interior",264,14309,0.77,33.2
2020-05-05,"Northern",88,4199,2.34,23.2
2020-05-05,"Unknown",12,876,0,19
2020-05-05,"Vancouver Coastal",499,31550,1.41,16.1
2020-05-05,"Vancouver Island",324,15018,0.14,15.9
2020-05-06,"BC",2284,104653,1.83,22.3
2020-05-06,"Fraser",749,37166,3.29,24.1
2020-05-06,"Interior",389,14698,0.59,29
2020-05-06,"Northern",119,4318,1.88,31.5
2020-05-06,"Unknown",6,882,0,31
2020-05-06,"Vancouver Coastal",637,32187,1.67,18.3
2020-05-06,"Vancouver Island",384,15402,0.14,16
2020-05-07,"BC",2443,107096,1.89,22.7
2020-05-07,"Fraser",864,38030,3.47,23.9
2020-05-07,"Interior",400,15098,0.44,29
2020-05-07,"Northern",132,4450,1.61,30.4
2020-05-07,"Unknown",2,884,0,19
2020-05-07,"Vancouver Coastal",670,32857,1.77,19.4
2020-05-07,"Vancouver Island",375,15777,0.19,16.2
2020-05-08,"BC",1988,109084,1.83,20
2020-05-08,"Fraser",704,38734,3.14,21.3
2020-05-08,"Interior",298,15396,0.42,29
2020-05-08,"Northern",119,4569,1.74,25.5
2020-05-08,"Unknown",11,895,0,19
2020-05-08,"Vancouver Coastal",526,33383,1.98,15
2020-05-08,"Vancouver Island",330,16107,0.12,15.3
2020-05-09,"BC",1791,110875,1.83,23
2020-05-09,"Fraser",679,39413,3.32,23.3
2020-05-09,"Interior",333,15729,0.48,30.9
2020-05-09,"Northern",56,4625,1.71,26.3
2020-05-09,"Unknown",16,911,0,37
2020-05-09,"Vancouver Coastal",460,33843,1.74,18.7
2020-05-09,"Vancouver Island",247,16354,0.09,17.6
2020-05-10,"BC",1282,112157,1.74,22
2020-05-10,"Fraser",449,39862,3.09,25.5
2020-05-10,"Interior",186,15915,0.56,23.6
2020-05-10,"Northern",60,4685,1.75,27.9
2020-05-10,"Unknown",6,917,0,27
2020-05-10,"Vancouver Coastal",385,34228,1.63,18.6
2020-05-10,"Vancouver Island",196,16550,0.09,16.8
2020-05-11,"BC",1283,113440,1.68,19.1
2020-05-11,"Fraser",379,40241,2.93,20.2
2020-05-11,"Interior",174,16089,0.59,23.3
2020-05-11,"Northern",46,4731,1.94,27.1
2020-05-11,"Unknown",4,921,0,37
2020-05-11,"Vancouver Coastal",470,34698,1.54,17.7
2020-05-11,"Vancouver Island",210,16760,0.1,14.8
2020-05-12,"BC",1739,115179,1.58,19.7
2020-05-12,"Fraser",701,40942,2.81,21.4
2020-05-12,"Interior",212,16301,0.55,27.3
2020-05-12,"Northern",46,4777,1.38,23
2020-05-12,"Unknown",2,923,0,19
2020-05-12,"Vancouver Coastal",522,35220,1.5,16.7
2020-05-12,"Vancouver Island",256,17016,0.1,14.5
2020-05-13,"BC",2086,117265,1.64,20.5
2020-05-13,"Fraser",754,41696,3.09,22.7
2020-05-13,"Interior",297,16598,0.53,24.2
2020-05-13,"Northern",82,4859,1.66,28.9
2020-05-13,"Unknown",13,936,0,23
2020-05-13,"Vancouver Coastal",572,35792,1.25,17.4
2020-05-13,"Vancouver Island",368,17384,0.1,16.1
2020-05-14,"BC",2204,119469,1.58,22.5
2020-05-14,"Fraser",743,42439,3.06,21.4
2020-05-14,"Interior",353,16951,0.54,30.8
2020-05-14,"Northern",95,4954,1.79,37.5
2020-05-14,"Unknown",12,948,0,23.4
2020-05-14,"Vancouver Coastal",674,36466,1.11,20.4
2020-05-14,"Vancouver Island",327,17711,0,15.9
2020-05-15,"BC",1648,121117,1.55,22.4
2020-05-15,"Fraser",595,43034,3.28,23.4
2020-05-15,"Interior",216,17167,0.56,39.3
2020-05-15,"Northern",84,5038,1.92,27.6
2020-05-15,"Unknown",7,955,0,22.4
2020-05-15,"Vancouver Coastal",426,36892,0.71,16.2
2020-05-15,"Vancouver Island",320,18031,0.05,15.8
2020-05-16,"BC",1808,122925,1.49,23.2
2020-05-16,"Fraser",647,43681,3.07,21.9
2020-05-16,"Interior",336,17503,0.51,32
2020-05-16,"Northern",75,5113,1.84,28.1
2020-05-16,"Unknown",7,962,0,22.4
2020-05-16,"Vancouver Coastal",458,37350,0.8,21
2020-05-16,"Vancouver Island",285,18316,0.05,17.8
2020-05-17,"BC",1305,124230,1.45,22.5
2020-05-17,"Fraser",474,44155,2.96,21.7
2020-05-17,"Interior",228,17731,0.39,29.4
2020-05-17,"Northern",51,5164,1.46,37
2020-05-17,"Unknown",5,967,0,24.5
2020-05-17,"Vancouver Coastal",367,37717,0.92,20.1
2020-05-17,"Vancouver Island",180,18496,0.05,16.7
2020-05-18,"BC",1169,125399,1.42,20.6
2020-05-18,"Fraser",517,44672,2.82,20.7
2020-05-18,"Interior",132,17863,0.23,25.5
2020-05-18,"Northern",34,5198,1.28,22.4
2020-05-18,"Unknown",1,968,0,43
2020-05-18,"Vancouver Coastal",340,38057,0.98,19
2020-05-18,"Vancouver Island",145,18641,0.05,19.2
2020-05-19,"BC",1365,126764,1.41,19.4
2020-05-19,"Fraser",477,45149,2.78,22.8
2020-05-19,"Interior",170,18033,0.35,21.7
2020-05-19,"Northern",36,5234,1.53,30.5
2020-05-19,"Unknown",1,969,0,43
2020-05-19,"Vancouver Coastal",492,38549,0.93,16.1
2020-05-19,"Vancouver Island",189,18830,0.06,15.1
2020-05-20,"BC",1792,128556,1.3,21
2020-05-20,"Fraser",594,45743,2.52,24.1
2020-05-20,"Interior",285,18318,0.35,29
2020-05-20,"Northern",83,5317,1.31,24.4
2020-05-20,"Unknown",11,980,0,15
2020-05-20,"Vancouver Coastal",512,39061,0.95,15.6
2020-05-20,"Vancouver Island",307,19137,0.11,15.7
2020-05-21,"BC",2018,130574,1.44,20.2
2020-05-21,"Fraser",758,46501,2.66,21.4
2020-05-21,"Interior",257,18575,0.43,24.1
2020-05-21,"Northern",88,5405,1.55,28.3
2020-05-21,"Unknown",14,994,0,30.5
2020-05-21,"Vancouver Coastal",588,39649,1.07,17.9
2020-05-21,"Vancouver Island",313,19450,0.17,15.7
2020-05-22,"BC",1721,132295,1.28,22
2020-05-22,"Fraser",594,47095,2.22,22.9
2020-05-22,"Interior",278,18853,0.47,33.2
2020-05-22,"Northern",84,5489,1.11,26.3
2020-05-22,"Unknown",14,1008,0,26.6
2020-05-22,"Vancouver Coastal",431,40080,1.16,17.3
2020-05-22,"Vancouver Island",320,19770,0.12,15.4
2020-05-23,"BC",1914,134209,1.26,22.4
2020-05-23,"Fraser",702,47797,2.16,24.5
2020-05-23,"Interior",220,19073,0.38,29.9
2020-05-23,"Northern",82,5571,1.31,23.7
2020-05-23,"Unknown",16,1024,0,28
2020-05-23,"Vancouver Coastal",599,40679,1.14,19.1
2020-05-23,"Vancouver Island",295,20065,0.11,17.9
2020-05-24,"BC",1356,135565,1.21,22
2020-05-24,"Fraser",542,48339,2.15,23.9
2020-05-24,"Interior",245,19318,0.38,23.5
2020-05-24,"Northern",59,5630,1.5,30.3
2020-05-24,"Unknown",9,1033,0,27
2020-05-24,"Vancouver Coastal",310,40989,0.95,19.4
2020-05-24,"Vancouver Island",191,20256,0.11,16
2020-05-25,"BC",1345,136910,1.13,19.1
2020-05-25,"Fraser",447,48786,2.11,22.1
2020-05-25,"Interior",164,19482,0.37,24.7
2020-05-25,"Northern",42,5672,1.27,20.4
2020-05-25,"Unknown",8,1041,0,36.1
2020-05-25,"Vancouver Coastal",491,41480,0.82,16.5
2020-05-25,"Vancouver Island",193,20449,0.11,13.3
2020-05-26,"BC",1783,138693,1.06,19.8
2020-05-26,"Fraser",640,49426,2.01,23.6
2020-05-26,"Interior",236,19718,0.18,27.1
2020-05-26,"Northern",32,5704,1.28,16.1
2020-05-26,"Unknown",3,1044,0,46.5
2020-05-26,"Vancouver Coastal",597,42077,0.79,15.3
2020-05-26,"Vancouver Island",275,20724,0.11,14.6
2020-05-27,"BC",1978,140671,1.01,21.2
2020-05-27,"Fraser",779,50205,1.9,23.5
2020-05-27,"Interior",293,20011,0.18,24
2020-05-27,"Northern",113,5817,1.2,28.9
2020-05-27,"Unknown",16,1060,0,25
2020-05-27,"Vancouver Coastal",445,42522,0.75,18
2020-05-27,"Vancouver Island",332,21056,0.05,15.2
2020-05-28,"BC",1997,142668,0.78,21.2
2020-05-28,"Fraser",719,50924,1.56,20.9
2020-05-28,"Interior",275,20286,0.06,27.7
2020-05-28,"Northern",101,5918,0.97,34
2020-05-28,"Unknown",18,1078,0,31
2020-05-28,"Vancouver Coastal",590,43112,0.55,18.9
2020-05-28,"Vancouver Island",294,21350,0,15.8
2020-05-29,"BC",1891,144559,0.79,21.2
2020-05-29,"Fraser",668,51592,1.58,23
2020-05-29,"Interior",304,20590,0,25.5
2020-05-29,"Northern",89,6007,1.16,26.4
2020-05-29,"Unknown",12,1090,0,27
2020-05-29,"Vancouver Coastal",559,43671,0.5,18.2
2020-05-29,"Vancouver Island",259,21609,0,15.7
2020-05-30,"BC",1714,146273,0.86,21.6
2020-05-30,"Fraser",722,52314,1.77,24.4
2020-05-30,"Interior",221,20811,0.06,25.1
2020-05-30,"Northern",96,6103,1.13,25.2
2020-05-30,"Unknown",16,1106,0,29.5
2020-05-30,"Vancouver Coastal",435,44106,0.44,16.4
2020-05-30,"Vancouver Island",224,21833,0,17
2020-05-31,"BC",1308,147581,0.91,21.6
2020-05-31,"Fraser",547,52861,1.86,24.2
2020-05-31,"Interior",178,20989,0.06,21.4
2020-05-31,"Northern",43,6146,0.97,28.4
2020-05-31,"Unknown",4,1110,0,31
2020-05-31,"Vancouver Coastal",367,44473,0.49,19.7
2020-05-31,"Vancouver Island",169,22002,0,15.9
2020-06-01,"BC",1253,148834,1.01,17.6
2020-06-01,"Fraser",398,53259,1.95,19.2
2020-06-01,"Interior",170,21159,0.12,19.9
2020-06-01,"Northern",24,6170,1,28
2020-06-01,"Unknown",10,1120,0,22.6
2020-06-01,"Vancouver Coastal",487,44960,0.63,16.1
2020-06-01,"Vancouver Island",164,22166,0.06,14
2020-06-02,"BC",1827,150661,1.06,19.8
2020-06-02,"Fraser",680,53939,2.13,22.9
2020-06-02,"Interior",262,21421,0.12,25.2
2020-06-02,"Northern",80,6250,0.73,23
2020-06-02,"Unknown",11,1131,0,22.6
2020-06-02,"Vancouver Coastal",503,45463,0.62,15.2
2020-06-02,"Vancouver Island",291,22457,0.06,14.5
2020-06-03,"BC",1998,152659,1.01,19.4
2020-06-03,"Fraser",731,54670,2.02,20.7
2020-06-03,"Interior",259,21680,0.12,26.2
2020-06-03,"Northern",87,6337,0.77,23.4
2020-06-03,"Unknown",23,1154,0,24.2
2020-06-03,"Vancouver Coastal",623,46086,0.59,15.7
2020-06-03,"Vancouver Island",275,22732,0.06,16.4
2020-06-04,"BC",1777,154436,1.04,19.8
2020-06-04,"Fraser",658,55328,2.04,21.6
2020-06-04,"Interior",231,21911,0.12,23.1
2020-06-04,"Northern",89,6426,0.59,27.9
2020-06-04,"Unknown",18,1172,0,20.6
2020-06-04,"Vancouver Coastal",519,46605,0.66,16.4
2020-06-04,"Vancouver Island",262,22994,0.06,16.5
2020-06-05,"BC",1814,156250,1.03,19.7
2020-06-05,"Fraser",684,56012,2.08,20.5
2020-06-05,"Interior",226,22137,0.13,26.8
2020-06-05,"Northern",86,6512,0.79,25.6
2020-06-05,"Unknown",24,1196,0,19.7
2020-06-05,"Vancouver Coastal",521,47126,0.61,16.5
2020-06-05,"Vancouver Island",273,23267,0.06,16.4
2020-06-06,"BC",1640,157890,0.95,24.4
2020-06-06,"Fraser",565,56577,1.99,23.7
2020-06-06,"Interior",266,22403,0.06,36.9
2020-06-06,"Northern",122,6634,0.38,30.4
2020-06-06,"Unknown",20,1216,0,23.8
2020-06-06,"Vancouver Coastal",442,47568,0.58,19.5
2020-06-06,"Vancouver Island",225,23492,0.06,17.9
2020-06-07,"BC",1328,159218,0.89,23.3
2020-06-07,"Fraser",561,57138,1.89,24.4
2020-06-07,"Interior",184,22587,0.06,33
2020-06-07,"Northern",40,6674,0.38,29.2
2020-06-07,"Unknown",10,1226,0,27
2020-06-07,"Vancouver Coastal",370,47938,0.52,18.7
2020-06-07,"Vancouver Island",163,23655,0.06,17.9
2020-06-08,"BC",1135,160353,0.78,17.9
2020-06-08,"Fraser",443,57581,1.71,18.5
2020-06-08,"Interior",137,22724,0,27.6
2020-06-08,"Northern",31,6705,0.56,19
2020-06-08,"Unknown",1,1227,0,3
2020-06-08,"Vancouver Coastal",380,48318,0.39,14
2020-06-08,"Vancouver Island",143,23798,0,17.1
2020-06-09,"BC",1669,162022,0.77,20.6
2020-06-09,"Fraser",710,58291,1.59,22.1
2020-06-09,"Interior",142,22866,0,25.7
2020-06-09,"Northern",53,6758,0.59,24.8
2020-06-09,"Unknown",19,1246,0,27
2020-06-09,"Vancouver Coastal",514,48832,0.42,17.2
2020-06-09,"Vancouver Island",231,24029,0,19.3
2020-06-10,"BC",1819,163841,0.87,21.8
2020-06-10,"Fraser",638,58929,1.81,21.2
2020-06-10,"Interior",166,23032,0.07,40.3
2020-06-10,"Northern",82,6840,0.6,25
2020-06-10,"Unknown",16,1262,0,20.5
2020-06-10,"Vancouver Coastal",640,49472,0.44,18.3
2020-06-10,"Vancouver Island",277,24306,0,19.4
2020-06-11,"BC",2010,165851,0.84,21.8
2020-06-11,"Fraser",696,59625,1.7,20.4
2020-06-11,"Interior",173,23205,0.15,43.8
2020-06-11,"Northern",111,6951,0.57,26.9
2020-06-11,"Unknown",9,1271,0,22.6
2020-06-11,"Vancouver Coastal",718,50190,0.47,18.8
2020-06-11,"Vancouver Island",303,24609,0,18.1
2020-06-12,"BC",1831,167682,0.87,22.2
2020-06-12,"Fraser",669,60294,1.68,18.9
2020-06-12,"Interior",222,23427,0.16,45.3
2020-06-12,"Northern",77,7028,0.19,24.6
2020-06-12,"Unknown",12,1283,0,29
2020-06-12,"Vancouver Coastal",615,50805,0.63,17.7
2020-06-12,"Vancouver Island",236,24845,0,20.5
2020-06-13,"BC",1774,169456,0.9,25.5
2020-06-13,"Fraser",595,60889,1.6,20.7
2020-06-13,"Interior",277,23704,0.15,56.6
2020-06-13,"Northern",79,7107,0.21,29.5
2020-06-13,"Unknown",20,1303,0,25
2020-06-13,"Vancouver Coastal",583,51388,0.81,16.6
2020-06-13,"Vancouver Island",220,25065,0,21.5
2020-06-14,"BC",957,170413,0.93,19.3
2020-06-14,"Fraser",404,61293,1.61,18.9
2020-06-14,"Interior",51,23755,0.17,20.5
2020-06-14,"Northern",38,7145,0.21,28.7
2020-06-14,"Unknown",5,1308,0,19
2020-06-14,"Vancouver Coastal",300,51688,0.88,16.2
2020-06-14,"Vancouver Island",159,25224,0,23.4
2020-06-15,"BC",1241,171654,0.94,18
2020-06-15,"Fraser",505,61798,1.59,18.7
2020-06-15,"Interior",58,23813,0.18,19.2
2020-06-15,"Northern",39,7184,0,26.2
2020-06-15,"Unknown",9,1317,0,20.4
2020-06-15,"Vancouver Coastal",510,52198,0.93,17.1
2020-06-15,"Vancouver Island",120,25344,0,15.8
2020-06-16,"BC",1948,173602,0.96,28
2020-06-16,"Fraser",636,62434,1.67,19.4
2020-06-16,"Interior",295,24108,0.24,76.9
2020-06-16,"Northern",56,7240,0,21.3
2020-06-16,"Unknown",12,1329,0,26.4
2020-06-16,"Vancouver Coastal",712,52910,0.96,19.1
2020-06-16,"Vancouver Island",237,25581,0,18.6
2020-06-17,"BC",1833,175435,0.85,25.2
2020-06-17,"Fraser",670,63104,1.39,19.2
2020-06-17,"Interior",251,24359,0.15,66.1
2020-06-17,"Northern",83,7323,0,26.8
2020-06-17,"Unknown",13,1342,0,14.7
2020-06-17,"Vancouver Coastal",603,53513,0.97,16.9
2020-06-17,"Vancouver Island",213,25794,0,19.1
2020-06-18,"BC",1900,177335,0.8,25
2020-06-18,"Fraser",746,63850,1.35,20.7
2020-06-18,"Interior",295,24654,0.07,49.7
2020-06-18,"Northern",75,7398,0,27
2020-06-18,"Unknown",18,1360,0,22.6
2020-06-18,"Vancouver Coastal",481,53994,0.87,19.8
2020-06-18,"Vancouver Island",285,26079,0,19.3
2020-06-19,"BC",1995,179330,0.73,24.2
2020-06-19,"Fraser",760,64610,1.18,22.8
2020-06-19,"Interior",292,24946,0.13,45.1
2020-06-19,"Northern",81,7479,0,28.8
2020-06-19,"Unknown",20,1380,0,25
2020-06-19,"Vancouver Coastal",648,54642,0.78,17.3
2020-06-19,"Vancouver Island",194,26273,0.07,19.2
2020-06-20,"BC",1759,181089,0.64,23.3
2020-06-20,"Fraser",765,65375,1.09,21.2
2020-06-20,"Interior",212,25158,0.21,38.5
2020-06-20,"Northern",67,7546,0,33.6
2020-06-20,"Unknown",8,1388,0,20
2020-06-20,"Vancouver Coastal",508,55150,0.56,19.6
2020-06-20,"Vancouver Island",199,26472,0.07,21.5
2020-06-21,"BC",1080,182169,0.72,22.4
2020-06-21,"Fraser",382,65757,1.23,21.9
2020-06-21,"Interior",125,25283,0.2,32.1
2020-06-21,"Northern",38,7584,0,35.5
2020-06-21,"Unknown",15,1403,0,27
2020-06-21,"Vancouver Coastal",326,55476,0.61,17.5
2020-06-21,"Vancouver Island",194,26666,0.07,22.3
2020-06-22,"BC",1300,183469,0.72,20.2
2020-06-22,"Fraser",550,66307,1.24,21.6
2020-06-22,"Interior",68,25351,0.2,27.2
2020-06-22,"Northern",32,7616,0,30.7
2020-06-22,"Unknown",4,1407,0,29
2020-06-22,"Vancouver Coastal",505,55981,0.58,18.4
2020-06-22,"Vancouver Island",141,26807,0.07,15.5
2020-06-23,"BC",2005,185474,0.69,22.3
2020-06-23,"Fraser",802,67109,1.24,19.9
2020-06-23,"Interior",162,25513,0.14,56.5
2020-06-23,"Northern",30,7646,0.25,27.4
2020-06-23,"Unknown",19,1426,0,21.1
2020-06-23,"Vancouver Coastal",729,56710,0.45,17.9
2020-06-23,"Vancouver Island",263,27070,0.07,20
2020-06-24,"BC",2198,187672,0.78,22.2
2020-06-24,"Fraser",731,67840,1.39,19.6
2020-06-24,"Interior",242,25755,0.14,46.7
2020-06-24,"Northern",88,7734,0.24,30.8
2020-06-24,"Unknown",29,1455,0,18.1
2020-06-24,"Vancouver Coastal",815,57525,0.55,17.3
2020-06-24,"Vancouver Island",293,27363,0.06,20.1
2020-06-25,"BC",1943,189615,0.81,22
2020-06-25,"Fraser",701,68541,1.49,19.3
2020-06-25,"Interior",240,25995,0.15,43.6
2020-06-25,"Northern",72,7806,0.25,29.6
2020-06-25,"Unknown",22,1477,0,21
2020-06-25,"Vancouver Coastal",584,58109,0.58,16.4
2020-06-25,"Vancouver Island",324,27687,0.06,20.3
2020-06-26,"BC",1753,191368,0.86,24.7
2020-06-26,"Fraser",666,69207,1.61,20.5
2020-06-26,"Interior",336,26331,0.14,46.4
2020-06-26,"Northern",82,7888,0.24,22.1
2020-06-26,"Unknown",25,1502,0,18.7
2020-06-26,"Vancouver Coastal",626,58735,0.61,18.1
2020-06-26,"Vancouver Island",18,27705,0,27.3
2020-06-27,"BC",1615,192983,0.89,24.5
2020-06-27,"Fraser",542,69749,1.67,21
2020-06-27,"Interior",282,26613,0.07,42.1
2020-06-27,"Northern",52,7940,0.25,25.8
2020-06-27,"Unknown",17,1519,0,24.3
2020-06-27,"Vancouver Coastal",506,59241,0.71,19.8
2020-06-27,"Vancouver Island",216,27921,0,21.2
2020-06-28,"BC",1230,194213,0.83,22.3
2020-06-28,"Fraser",475,70224,1.59,19.9
2020-06-28,"Interior",152,26765,0.07,33.6
2020-06-28,"Northern",53,7993,0.24,34.3
2020-06-28,"Unknown",5,1524,0,16.5
2020-06-28,"Vancouver Coastal",329,59570,0.66,18.3
2020-06-28,"Vancouver Island",216,28137,0,23.1
2020-06-29,"BC",1174,195387,0.83,18.4
2020-06-29,"Fraser",432,70656,1.59,18.1
2020-06-29,"Interior",78,26843,0.07,22.5
2020-06-29,"Northern",22,8015,0.25,21.9
2020-06-29,"Unknown",15,1539,0,25.9
2020-06-29,"Vancouver Coastal",484,60054,0.66,18.4
2020-06-29,"Vancouver Island",143,28280,0,16.1
2020-06-30,"BC",1880,197267,0.8,22.9
2020-06-30,"Fraser",658,71314,1.45,21.5
2020-06-30,"Interior",188,27031,0.07,44.2
2020-06-30,"Northern",57,8072,0,26.2
2020-06-30,"Unknown",24,1563,0,18.9
